Code,Bin Name,COUNT 1,COUNT 2,COUNT 3
GC-801,Bulk Hardware 1,,,
GC-801,Hardware 2,,,
GC-801-D,Bulk Hardware 1,,,
GC-801-D,Hardware 2,,,
GC-802,Bulk Hardware 1,,,
GC-802,Hardware 2,,,
RB-626,Hardware 4,,,
RB-6300,Hardware 4,,,
TB-51100,Hardware 4,,,
10*20-WASH,Hardware 4,,,
SQSH-2-PAN,Bulk Hardware 2,,,
SQSH-4-PAN,Bulk Hardware 2,,,
BTMK-KIT,Hardware 3,,,
CLV-BLKCAT,Hardware 3,,,
CLV-GH-BRN,Hardware 3,,,
CLV-GH-CH,Hardware 3,,,
CLV-HBUSH,Hardware 3,,,
CLV-LH,Hardware 3,,,
CLV-LH-BRN,Hardware 3,,,
CLV-LH-CH,Hardware 3,,,
CLV-LHH,Hardware 3,,,
CLV-LHH-BRN,Hardware 3,,,
CLV-LP,Hardware 3,,,
CLV-LP-BRN,Hardware 3,,,
CLV-LP-CH,Hardware 3,,,
CLV-LPIN,Hardware 3,,,
CLV-LPIN-A,Hardware 3,,,
CLV-LPIN-EXL,Hardware 3,,,
CLV-MH-CB,Hardware 3,,,
CLV-MH-CB-BR,Hardware 3,,,
CLV-MH-CB-CH,Hardware 3,,,
CLV-MH-CS,Hardware 3,,,
CLV-MH-CS-BR,Hardware 3,,,
CLV-MH-CS-CH,Hardware 3,,,
CLV-PH,Hardware 3,,,
CLV-PH-BRN,Hardware 3,,,
CLV-PH-CH,Hardware 3,,,
CLV-RBR,Bulk Seals,,,
CLV-RH,Hardware 3,,,
CLV-RH-BRN,Hardware 3,,,
CLV-RH-CH,Hardware 3,,,
SIDK-KIT,Hardware 3,,,
TOPK-KIT,Hardware 3,,,
CLV-LHH-CH,Hardware 3,,,
P3794,Hardware 3,,,
SL-0068,Hardware 3,,,
SL-0068P,Hardware 3,,,
SL-0077,Hardware 3,,,
SL-0077P,Hardware 3,,,
SL-0078,Hardware 3,,,
SL-0080,Hardware 3,,,
SL-0085L,Hardware 3,,,
SL-0085R,Hardware 3,,,
SL-0098,Hardware 3,,,
SL-0099N,Hardware 3,,,
DL-001P,Hardware 3,,,
DL-002P,Hardware 3,,,
DL-02P,Hardware 3,,,
GDL-0061P,Hardware 3,,,
GDL-0061P,Bulk Hardware 1,,,
GDL-0062P,Hardware 3,,,
GDL-0062P,Bulk Hardware 1,,,
SLL-824P,Hardware 3,,,
SLL-824P,Bulk Hardware 1,,,
SP21B,Patch Fitting,,,
SP21BC,Patch Fitting,,,
SP21L,Patch Fitting,,,
SP21LC,Patch Fitting,,,
P4346,Hardware 3,,,
SP10,Patch Fitting,,,
SP10C,Patch Fitting,,,
SP20,Patch Fitting,,,
SP20C,Patch Fitting,,,
SP20PC,Patch Fitting,,,
SP23,Patch Fitting,,,
SP23C,Patch Fitting,,,
SP24,Patch Fitting,,,
SP24C,Patch Fitting,,,
SP30,Patch Fitting,,,
SP30C,Patch Fitting,,,
SP40,Patch Fitting,,,
SP40C,Patch Fitting,,,
SP41L,Patch Fitting,,,
SP41LC,Patch Fitting,,,
SP41R,Patch Fitting,,,
SP41RC,Patch Fitting,,,
SP50,Patch Fitting,,,
SP50C,Patch Fitting,,,
SP50-LU,Patch Fitting,,,
SP52,Patch Fitting,,,
SP52C,Patch Fitting,,,
SP52-WP,Patch Fitting,,,
SP52-WPC,Patch Fitting,,,
SP53,Patch Fitting,,,
SP53C,Patch Fitting,,,
SP54C,Patch Fitting,,,
SP55,Patch Fitting,,,
SP550,Patch Fitting,,,
SP550-BP,Hardware 3,,,
SP550C,Patch Fitting,,,
SP600,Patch Fitting,,,
SP600C,Patch Fitting,,,
SP610,Patch Fitting,,,
SP610C,Patch Fitting,,,
SP610PC,Patch Fitting,,,
SP620,Patch Fitting,,,
SP620C,Patch Fitting,,,
SP620PC,Patch Fitting,,,
SP71,Patch Fitting,,,
SP72,Patch Fitting,,,
SP72-BP,Patch Fitting,,,
SP72C,Patch Fitting,,,
SP72-SP,Patch Fitting,,,
SP80,Patch Fitting,,,
SP80-BP,Patch Fitting,,,
SP80C,Patch Fitting,,,
SP80-SP,Patch Fitting,,,
SP84,Patch Fitting,,,
SP84-BP,Patch Fitting,,,
SP84C,Patch Fitting,,,
SP84-SP,Patch Fitting,,,
SP90,Patch Fitting,,,
