Item Code,Bin
CLV-LH-EXH,Loose Metal 
CSLF-1000B,Loose Metal 
CSLF-1000N,Loose Metal 
CSLF-1500N,Loose Metal 
CSLT-1000N,Loose Metal 
CSLT-1500B,Loose Metal 
CSLT-1500MB,Loose Metal 
HNG-RL-1000B,Loose Metal 
HNG-RL-1500N,Loose Metal 
EHDR-1000B,Loose Metal 
EHDR-1500N,Loose Metal 
CSLF-1500B,Loose Metal 
CSLF-1500MB,Loose Metal 
CSLT-1500N,Loose Metal 
KLW-0925N,Loose Metal 
MP-CHNL-1000N,Loose Metal 
MPF-1000N,Loose Metal 
MPT-1000N,Loose Metal 
MPT-1500N,Loose Metal 
MPW-1000N,Loose Metal 
26B-7250BR,Metal Bulk 1
26B-7250CH,Metal Bulk 1
26B-7250N,Metal Bulk 1
ARE-BL-M3000,Metal Bulk 1
ARE-CC-51N,Metal Bulk 1
ARE-CC-M5100,Metal Bulk 1
ARE-EP-M3150,Metal Bulk 1
ARE-RB-M2100,Metal Bulk 1
ARE-RB-M3000,Metal Bulk 1
ARE-RB-M5100,Metal Bulk 1
ARE-RB-M7200,Metal Bulk 1
ARE-RC-21BR,Metal Bulk 1
ARE-RC-21BL,Metal Bulk 1
ARE-RC-21CH,Metal Bulk 1
ARE-RC-M5100,Metal Bulk 1
ARE-RC-M7200,Metal Bulk 1
ARE-RC-5100CC,Metal Bulk 1
ARE-TR-21BR,Metal Bulk 1
ARE-TR-21BL,Metal Bulk 1
ARE-TR-21CH,Metal Bulk 1
ARE-TR-21N,Metal Bulk 1
ARE-TR-21WH,Metal Bulk 1
ARE-TR-30BL,Metal Bulk 1
ARE-TR-36BR,Metal Bulk 1
ARE-TR-51BR,Metal Bulk 1
ARE-TR-51CH,Metal Bulk 1
ARE-TR-51N,Metal Bulk 1
ARE-TR-51WH,Metal Bulk 1
ARE-TR-72BL,Metal Bulk 1
ARE-TR-72CH,Metal Bulk 1
ARE-TR-72N,Metal Bulk 1
ARE-TR-72WH,Metal Bulk 1
ARE-TR-M2100,Metal Bulk 1
ARE-TR-M7200,Metal Bulk 1
CLV-BTMK-2100,Metal Bulk 1
CLV-BTMK-3000,Metal Bulk 1
CLV-BTMK-3600,Metal Bulk 1
CLV-BTMK-3600CH,Metal Bulk 1
CLV-BTMK-5100,Metal Bulk 1
CLV-TOPK-2100,Metal Bulk 1
CLV-TOPK-3000,Metal Bulk 1
CLV-TOPK-3600,Metal Bulk 1
CLV-TOPK-4200CH,Metal Bulk 1
CLV-TOPK-5100,Metal Bulk 1
CLV-TOPK-7200,Metal Bulk 1
SB25-1500N,Metal Bulk 1
SB25-2000N,Metal Bulk 1
SB25-3000N,Metal Bulk 1
ARE-RO-M5100,Metal Bulk 1
ARE-TR-M5100,Metal Bulk 1
CLV-SIDK-3000,Metal Bulk 1
CLV-SIDK-6000,Metal Bulk 1
CLV-BTMK-7200,Metal Bulk 1
SB25-6000N,Metal Bulk 1
MP-CHNL-3000N,Metal Bulk 1
MPF-5100N,Metal Bulk 1
MPW-6000N,Metal Bulk 1
RB10-M3000,Metal Bulk 1
26B-7250BR,Metal Bulk 2
26B-7250CH,Metal Bulk 2
26B-7250N,Metal Bulk 2
ARE-BL-M3000,Metal Bulk 2
ARE-CC-51N,Metal Bulk 2
ARE-CC-M5100,Metal Bulk 2
ARE-EP-M3150,Metal Bulk 2
ARE-RB-M2100,Metal Bulk 2
ARE-RB-M3000,Metal Bulk 2
ARE-RB-M5100,Metal Bulk 2
ARE-RB-M7200,Metal Bulk 2
ARE-RC-21BR,Metal Bulk 2
ARE-RC-21BL,Metal Bulk 2
ARE-RC-21CH,Metal Bulk 2
ARE-RC-M5100,Metal Bulk 2
ARE-RC-M7200,Metal Bulk 2
ARE-RC-5100CC,Metal Bulk 2
ARE-TR-21BR,Metal Bulk 2
