Item Code,Count 1,Count 2,Count 3,Theoretical
5*25-7991,1307.00,1307.00,1307.00,1037.00
6*12-916,222.00,222.00,222.00,222.00
6*16-916,1500.00,1500.00,1500.00,1500.00
6*6-916,1057.00,1057.00,1057.00,1057.00
ABG-001,0.00,0.00,0.00,1.00
ABG-006,10.00,10.00,10.00,8.00
ABG-008,434.00,434.00,434.00,436.00
AIA12-2000B,0.00,0.00,0.00,0.00
AIA12-3000B,0.00,0.00,0.00,0.00
AIA12-M3000,0.00,0.00,0.00,0.00
AIA12-M6000,0.00,0.00,0.00,0.00
AIA15-3000B,15.00,15.00,15.00,14.00
AIA15-M3000,0.00,0.00,0.00,0.00
AIA15-M6000,0.00,0.00,0.00,0.00
AIA19-3000N,0.00,0.00,0.00,0.00
AIA25-0500B,0.00,0.00,0.00,0.00
AIA25-1000B,0.00,0.00,0.00,0.00
AIA25-1000W,4.00,4.00,4.00,4.00
AIA2512-6000M,10.00,10.00,10.00,10.00
AIA25-2000B,30.00,30.00,30.00,32.00
AIA25-2000W,0.00,0.00,0.00,0.00
AIA25-2500B,1.00,1.00,1.00,1.00
AIA25-3000B,7.00,7.00,7.00,7.00
AIA25-3000W,8.00,8.00,8.00,8.00
AIA25-6000M,0.00,0.00,0.00,0.00
AIA25-6000W,0.00,0.00,0.00,0.00
AIA5025-3000B,0.00,0.00,0.00,0.00
AIA50-6000M,0.00,0.00,0.00,0.00
ALM-SBTR-PM,327.00,327.00,327.00,110.00
AN0-MCP35-NAT,0.00,0.00,0.00,0.00
ANO-BHDR-BPS,0.00,0.00,0.00,0.00
ANO-BHDR-NAT,0.00,0.00,0.00,0.00
ANO-BRASS,0.00,0.00,0.00,0.00
ANO-BRONZE,0.00,0.00,0.00,0.00
ANO-CHNL10-BPS,0.00,0.00,0.00,0.00
ANO-CHNL10-NAT,0.00,0.00,0.00,0.00
ANO-CHNL8-BPS,0.00,0.00,0.00,0.00
ANO-CHNL8-NAT,0.00,0.00,0.00,0.00
ANO-CSLEND-NAT,0.00,0.00,0.00,0.00
ANO-CSLF-BPS,0.00,0.00,0.00,0.00
ANO-CSLT-BPS,0.00,0.00,0.00,0.00
ANO-DLS-NAT,0.00,0.00,0.00,0.00
ANO-DSL-BPS-PM,0.00,0.00,0.00,0.00
ANO-EHDR-BPS,0.00,0.00,0.00,0.00
ANO-EMP-HNG-R-N,0.00,0.00,0.00,0.00
ANO-HDR-NAT-PM,0.00,0.00,0.00,0.00
ANO-KAL-NAT,0.00,0.00,0.00,0.00
ANO-KLW-3000P,0.00,0.00,0.00,0.00
ANO-MCP19-BPS,0.00,0.00,0.00,0.00
ANO-MCP19-NAT,0.00,0.00,0.00,0.00
ANO-MCP35-BPS,0.00,0.00,0.00,0.00
ANO-MCP35-NAT,0.00,0.00,0.00,0.00
ANO-NATURAL,0.00,0.00,0.00,0.00
ANO-POLISH,0.00,0.00,0.00,0.00
ANO-SHDR-BPS,0.00,0.00,0.00,0.00
ANO-SLHR-BPS,0.00,0.00,0.00,0.00
ANO-SLHR-NAT,0.00,0.00,0.00,0.00
AP2520,835.00,835.00,835.00,1308.00
AP2525,648.00,648.00,648.00,747.00
AP2555,1040.00,1040.00,1040.00,1008.00
B13-WHEEL,14.00,14.00,14.00,14.00
B315ANBZ,0.00,0.00,0.00,0.00
B315ANBZ-BTMK,0.00,0.00,0.00,0.00
B315ANBZ-SIDK,0.00,0.00,0.00,0.00
B315ANBZ-TOPK,0.00,0.00,0.00,0.00
BAL-GG1,0.00,0.00,0.00,0.00
BAL-GG2,0.00,0.00,0.00,0.00
BAL-GL180,0.00,0.00,0.00,0.00
BAL-GL90,0.00,0.00,0.00,0.00
