ITEM CODE,COUNT THEORETICAL,COUNT SUMMARY
10*20-WASH,1333,
10*25-WASH,80,
10*70-STR,0,
120N,0,
26B-2100WH,0,
26B-2250CH,0,
26B-2400BR,2,
26B-3000BL,8,
26B-3000CH,4,
26B-6000CH,0,
26B-7250,0,
26B-7250BL,1,
26B-7250BR,6,
26B-7250CH,0,
26B-7250N,4,
26B-7250WH,4,
26B-M7250,0,
26B-SIDK-7250,0,
5*25-7991,0,
6*12-916,1029,
6*12-WASH,6284,
6*14-WASH,3836,
6*16-WASH,1569,
6*17-STR,3835,
8*19-WASH,72,
ABR-115S-1,13,
ABR-350S,4,
AIA12-2000B,8,
AIA12-3000B,8,
AIA12-3000BL,28,
AIA129-3000N,0,
AIA129-3000PC,0,
AIA129-M3000,0,
AIA12-M6000,0,
AIA15-2000B,17,
AIA15-3000B,14,
AIA15-3000PC,0,
AIA15-M3000,0,
AIA25-1000B,0,
AIA25-1000W,0,
AIA2512-6000M,0,
AIA25-1500B,0,
AIA25-2000B,14,
AIA25-2000W,0,
AIA25-2500B,0,
AIA25-3000B,8,
AIA25-3000N,0,
AIA25-3000W,0,
AK-3,505,
AK-9P,1,
ALM19-MB-PM,0,
ALM-SBTR-PM,-1.42109E-14,
ALU-FB-AD,47,
ALU-FLP,0,
ALU-PLATE,26,
ANO-ALM-SBTR-MB,0,
ANOARE-CC-N,0,
ANO-ARE-CC-NN,0,
ANO-ARE-EPF-N,0,
ANO-ARE-EPL-N,0,
ANO-ARE-EPS-N,0,
ANO-ARE-HA-N,0,
ANO-ARE-RC-N,0,
ANO-ARERC-NAT,0,
ANO-ARE-TR-N,0,
ANO-BCP,0,
ANO-BCP-B,20,
ANO-BCP-RG,0,
ANO-BHDR-BPS,0,
ANO-BHDR-MBL,0,
ANO-BHDR-NAT,-3.8147E-07,
ANO-BRASS,0,
ANO-BRONZE,0,
ANO-BSP-BPS,0,
ANO-CCHL8-BPS,0,
ANO-CCHL8-MBL,0,
ANO-CCHL8-NAT,0,
ANO-CHL-8-RG,0,
ANO-CHLN10-RG,0,
ANO-CHNL10-BPS,0,
ANO-CHNL10-MBL,0,
ANO-CHNL10-NAT,0,
ANO-CHNL10-RG,0,
ANO-CHNL19-BPS,0,
ANO-CHNL25-BPS,0,
ANO-CHNL-25-NAT,0,
ANO-CHNL8-BPS,0,
ANO-CHNL8-MBL,0,
ANO-CHNL8-NAT,0,
ANO-CSLF-BPS,0,
ANO-CSLF-MBL,0,
ANO-CSLF-NAT,0,
ANO-CSLT-BPS,0,
ANO-CSLT-MBL,0,
ANO-CSLT-NAT,0,
ANO-CSLW-BPS,0,
ANO-CSLW-MBL,0,
ANO-CSLW-NAT,0,
ANO-DLS-NAT,0,
ANO-DSL-BPS-PM,0,
ANO-DSL-MBL-PM,0,
ANO-EHDR-BPS,0,
ANO-EHDR-NAT,0,
ANO-FLB50-MBL,0,
ANO-HNG-BPS,0,
ANO-INS8-BPS,0,
ANO-MCP19-A,0,
ANO-MCP19-BPS,0,
ANO-MCP19-MBL,0,
ANO-MCP19-NAT,0,
ANO-MCP35-BPS,0,
ANO-MCP35-NAT,0,
ANO-MPCHNL-NAT,0,
ANO-MPF-NAT,0,
ANO-MPT-NAT,0,
ANO-SBC-BPS,0,
ANO-SBC-MBL,0,
ANO-SBC-NAT,0,
ANO-SFC-BLK,0,
ANO-SFC-BPS,0,
ANO-SFC-MBL,0,
ANO-SFC-NAT,0,
ANO-SHDR-BPS,0,
ANO-SLHR-BPS,0,
ANO-SLHR-NAT,0,
ANO-SLW-BPS,0,
ANO-SLW-MBL,0,
ANO-SLW-NAT,0,
ANO-STC-BLK,0,
ANO-STC-BPS,0,
ANO-STC-MBL,0,
ANO-STC-NAT,0,
ANO-TCB-BPS,0,
ANO-TCB-MBL,0,
ANO-TCB-NAT,0,
ANO-TCF-BPS,0,
ANO-TCF-MBL,0,
ANO-TCF-NAT,0,
ANO-WBAR-NAT,1.5,
AP2520,29,
AP2530S,0,
AP2550,894,
AP2550S,12,
ARE-10C300BL,0,
ARE-10C300BR,0,
ARE-10C300CH,0,
ARE-10C300M,0,
ARE-10C300N,0,
ARE-10C300WH,0,
ARE-10C550,0,
ARE-10C550BL,0,
ARE-10C550BR,0,
ARE-10C550CH,0,
ARE-10C550M,0,
ARE-10C550N,0,
ARE-10C550WH,0,
ARE-10P300BL,0,
ARE-10P300BR,0,
ARE-10P300CH,0,
ARE-10P300M,0,
ARE-10P300N,0,
ARE-10P300WH,0,
ARE-10P550BL,0,
ARE-10P550BR,0,
ARE-10P550CH,0,
ARE-10P550M,0,
ARE-10P550N,0,
ARE-10P550WH,0,
ARE-15C300BL,0,
ARE-15C300BR,0,
ARE-15C300CH,0,
ARE-15C300M,0,
ARE-15C300N,0,
ARE-15C300WH,0,
ARE-15C550,0,
ARE-15C550BL,0,
ARE-15C550-BL,0,
ARE-15C550BR,0,
ARE-15C550CH,0,
ARE-15C550M,0,
ARE-15C550N,0,
ARE-15C550WH,0,
ARE-15P300BL,0,
ARE-15P300BR,0,
ARE-15P300CH,0,
ARE-15P300M,0,
ARE-15P300N,0,
ARE-15P300WH,0,
ARE-15P550BL,0,
ARE-15P550BR,0,
ARE-15P550CH,0,
ARE-15P550M,0,
ARE-15P550N,0,
ARE-15P550WH,0,
ARE-5C300BL,0,
ARE-5C300BR,0,
ARE-5C300CH,0,
ARE-5C300M,0,
ARE-5C300N,0,
ARE-5C300WH,0,
ARE-5C550BL,0,
ARE-5C550BR,0,
ARE-5C550CH,0,
ARE-5C550M,0,
ARE-5C550N,0,
ARE-5C550WH,0,
ARE-5P300BL,0,
ARE-5P300BR,0,
ARE-5P300CH,0,
ARE-5P300M,0,
ARE-5P300N,0,
ARE-5P300WH,0,
ARE-5P550BL,0,
ARE-5P550BR,0,
ARE-5P550CH,0,
ARE-5P550M,0,
ARE-5P550N,0,
ARE-5P550WH,0,
ARE-AP-135,125,
ARE-AP-180,189,
ARE-B1912,155,
ARE-BGP,0,
ARE-BL-M0040,544,
ARE-BL-M0060,368,
ARE-BL-M0125,0,
ARE-BL-M3000,23.31,
ARE-BL-M5100,1.11022E-16,
ARE-CC-21BL,0,
ARE-CC-21BR,0,
ARE-CC-21CH,0,
ARE-CC-21N,0,
ARE-CC-21WH,0,
ARE-CC-30BL,0,
ARE-CC-30BR,0,
ARE-CC-30CH,0,
ARE-CC-30N,1,
ARE-CC-30WH,0,
ARE-CC-36BL,0,
ARE-CC-36BR,0,
ARE-CC-36CH,0,
ARE-CC-36N,0,
ARE-CC-36WH,0,
ARE-CC-42BL,1,
ARE-CC-42BR,0,
ARE-CC-42CH,0,
ARE-CC-42N,0,
ARE-CC-42WH,0,
ARE-CC-5100,0,
ARE-CC-51BL,4,
ARE-CC-51BR,15,
ARE-CC-51CH,15,
ARE-CC-51N,2,
ARE-CC-51WH,10,
ARE-CC-7200,0,
ARE-CC-72BL,0,
ARE-CC-72BR,0,
ARE-CC-72CH,0,
ARE-CC-72N,0,
ARE-CC-72WH,0,
ARE-CC-M2100,0,
ARE-CC-M3000,0,
ARE-CC-M3600,0,
ARE-CC-M4200,0,
ARE-CC-M5100,268,
ARE-CC-M7200,0,
ARE-CHP,21,
ARE-CHP-A,4,
ARE-DS,12,
ARE-EP-6300,0,
ARE-EPF-A,51,
ARE-EPF-BL,27,
ARE-EPF-BR,38,
ARE-EPF-C1,0,
ARE-EPF-C2,0,
ARE-EPF-C3,0,
ARE-EPF-CH,24,
ARE-EPF-N,10,
ARE-EPF-WH,25,
ARE-EPL-A,50,
ARE-EPL-BL,33,
ARE-EPL-BR,32,
ARE-EPL-C1,0,
ARE-EPL-CH,24,
ARE-EPL-N,10,
ARE-EPL-WH,25,
ARE-EP-M0099,600,
ARE-EP-M3150,112.62,
ARE-EP-M6300,0,
ARE-EPS-A,50,
ARE-EPS-ACC,0,
ARE-EPS-BL,32,
ARE-EPS-BR,37,
ARE-EPS-CH,13,
ARE-EPS-N,4,
ARE-EPS-WH,39,
ARE-FB,79,
ARE-FB180,0,
ARE-FB90,76,
ARE-FBA,16,
ARE-FDS,171,
ARE-FG,74,
ARE-FGA,0,
ARE-FSB,19,
ARE-GP,0,
ARE-GR-F90,0,
ARE-GR-HF90,0,
ARE-GR-HF90CC,0,
ARE-GR-PH,0,
ARE-GR-PHCC,0,
ARE-GR-PL,0,
ARE-GR-SF,0,
ARE-GR-SFCC,0,
ARE-GR-SH,0,
ARE-GR-SL,0,
ARE-GR-SS,0,
ARE-GS-0500,0,
ARE-GS-050BL,0,
ARE-GS-050BR,0,
ARE-GS-050CH,0,
ARE-GS-050N,0,
ARE-GS-050WH,0,
ARE-GS-0750,0,
ARE-GS-075BL,0,
ARE-GS-075BR,0,
ARE-GS-075CH,0,
ARE-GS-075N,0,
ARE-GS-075WH,0,
ARE-GS-10,0,
ARE-GS-1000,0,
ARE-GS-100BL,0,
ARE-GS-100BR,6,
ARE-GS-100CH,0,
ARE-GS-100N,0,
ARE-GS-100WH,0,
ARE-GS-120CH,0,
ARE-GS-1250,0,
ARE-GS-125BL,0,
ARE-GS-125BR,0,
ARE-GS-125CH,0,
ARE-GS-125N,0,
ARE-GS-125WH,0,
ARE-GS-1500,0,
ARE-GS-150BL,0,
ARE-GS-150BR,0,
ARE-GS-150CH,0,
ARE-GS-150N,0,
ARE-GS-150WH,0,
ARE-GS-1750,0,
ARE-GS-175BL,0,
ARE-GS-175BR,0,
ARE-GS-175CH,0,
ARE-GS-175N,0,
ARE-GS-175WH,0,
ARE-GS-200BL,0,
ARE-GS-200BR,0,
ARE-GS-200CH,0,
ARE-GS-200N,0,
ARE-GS-200WH,0,
ARE-GS-250BL,0,
ARE-GS-250BR,0,
ARE-GS-250CH,0,
ARE-GS-250N,0,
ARE-GS-250WH,0,
ARE-GS-M050,0,
ARE-GS-M075,0,
ARE-GS-M100,0,
